a0,a1,a2,a3,a4,a5,a6,a7
533,10.0,1496720283529.0,0,0,1.0,12.9802,77.6975
534,10.0,1496720283579.0,0,0,1.0,12.9802,77.6975
535,10.0,1496720283632.0,0,0,1.0,12.9802,77.6975
536,10.0,1496720283681.0,0,0,1.0,12.9802,77.6975
537,10.0,1496720283741.0,0,0,1.0,12.9802,77.6975
538,10.0,1496720283793.0,0,0,1.0,12.9802,77.6975
539,10.0,1496720283846.0,0,0,1.0,12.9802,77.6975
540,10.0,1496720283895.0,0,0,1.0,12.9802,77.6975
541,10.0,1496720283951.0,0,0,1.0,12.9802,77.6975
542,10.0,1496720283998.0,0,0,1.0,12.9802,77.6975
543,10.0,1496720319348.0,0,0,1.0,12.9803,77.6976
544,10.0,1496720321341.0,0,0,1.0,12.9803,77.6976
545,10.0,1496720322960.0,0,0,1.0,12.9803,77.6976
546,10.0,1496808256631.0,0,0,1.0,12.9802,77.6975
547,10.0,1496808258644.0,0,0,1.0,12.9802,77.6975
548,10.0,1496808259705.0,0,0,1.0,12.9802,77.6975
549,10.0,1496808260802.0,0,0,1.0,12.9802,77.6975
550,10.0,1496808262360.0,0,0,1.0,12.9802,77.6975
551,10.0,1496808263782.0,0,0,1.0,12.9802,77.6975
552,10.0,1496808266063.0,0,0,1.0,12.9802,77.6975
553,10.0,1496808267250.0,0,0,1.0,12.9802,77.6975
554,10.0,1496808269638.0,0,0,1.0,12.9802,77.6975
555,10.0,1496808272642.0,0,0,1.0,12.9802,77.6975
556,10.0,1496808275787.0,0,0,1.0,12.9802,77.6975
557,10.0,1496808278468.0,0,0,1.0,12.9802,77.6975
558,10.0,1496808283027.0,0,0,1.0,12.9802,77.6975
559,10.0,1496808287695.0,0,0,1.0,12.9802,77.6975
560,10.0,1496808292367.0,0,0,1.0,12.9802,77.6975
561,10.0,1496808296065.0,0,0,1.0,12.9802,77.6975
562,10.0,1496808298403.0,0,0,1.0,12.9802,77.6975
563,10.0,1496808300725.0,0,0,1.0,12.9802,77.6975
564,10.0,1496808305860.0,0,0,1.0,12.9803,77.6976
565,10.0,1496808307413.0,0,0,1.0,12.9803,77.6976
566,10.0,1496808308833.0,0,0,1.0,12.9803,77.6976
567,10.0,1496808309759.0,0,0,1.0,12.9803,77.6976
568,10.0,1496808311389.0,0,0,1.0,12.9803,77.6976
569,10.0,1496808327257.0,0,0,1.0,12.9803,77.6976
570,10.0,1496808328402.0,0,0,1.0,12.9803,77.6976
571,10.0,1496808330479.0,0,0,1.0,12.9803,77.6976
572,10.0,1496808331591.0,0,0,1.0,12.9803,77.6976
573,10.0,1496808332802.0,0,0,1.0,12.9803,77.6976
580,30.0,1496821907818.0,0,0,0.0,0.0,0.0
581,30.0,1496821956145.0,0,0,0.0,0.0,0.0
582,30.0,1496821965135.0,0,0,0.0,0.0,0.0
597,10.0,1496905385606.0,0,0,1.0,12.9802,77.6975
598,10.0,1496905388777.0,0,0,1.0,12.9802,77.6975
599,10.0,1496905394271.0,0,0,1.0,12.9802,77.6975
600,10.0,1496905397936.0,0,0,1.0,12.9802,77.6975
601,10.0,1496905401674.0,0,0,1.0,12.9802,77.6975
602,10.0,1496905408563.0,0,0,1.0,12.9802,77.6975
603,10.0,1496905423000.0,0,0,1.0,12.9802,77.6975
604,10.0,1496905433860.0,0,0,1.0,12.9802,77.6975
605,10.0,1496905441254.0,0,0,1.0,12.9802,77.6975
606,10.0,1496905468366.0,0,0,1.0,12.9802,77.6975
607,10.0,1496905471476.0,0,0,1.0,12.9802,77.6975
608,10.0,1496905475412.0,0,0,1.0,12.9802,77.6975
609,10.0,1496905477374.0,0,0,1.0,12.9802,77.6975
610,10.0,1496905478890.0,0,0,1.0,12.9802,77.6975
611,10.0,1496905483386.0,0,0,1.0,12.9802,77.6975
612,10.0,1496905486326.0,0,0,1.0,12.9802,77.6975
613,10.0,1496905488805.0,0,0,1.0,12.9802,77.6975
614,10.0,1496905493895.0,0,0,1.0,12.9802,77.6975
615,10.0,1496905496529.0,0,0,1.0,12.9802,77.6975
616,10.0,1496905498761.0,0,0,1.0,12.9802,77.6975
617,10.0,1496905501520.0,0,0,1.0,12.9802,77.6975
618,10.0,1496905505082.0,0,0,1.0,12.9802,77.6975
619,10.0,1496905507112.0,0,0,1.0,12.9802,77.6975
620,10.0,1496905514237.0,0,0,1.0,12.9802,77.6975
621,10.0,1496905515668.0,0,0,1.0,12.9802,77.6975
622,10.0,1496905517351.0,0,0,1.0,12.9802,77.6975
623,10.0,1496905518757.0,0,0,1.0,12.9802,77.6975
624,10.0,1496905521087.0,0,0,1.0,12.9802,77.6975
625,10.0,1496905522914.0,0,0,1.0,12.9802,77.6975
626,10.0,1496905525993.0,0,0,1.0,12.9802,77.6975
627,10.0,1496905547196.0,0,0,1.0,12.9802,77.6975
629,10.0,1496905787000.0,0,0,0.0,0.0,0.0
630,10.0,1496905779000.0,0,0,0.0,0.0,0.0
631,10.0,1496905787000.0,0,0,0.0,0.0,0.0
632,10.0,1496905787000.0,0,0,0.0,0.0,0.0
633,10.0,1496905787000.0,0,0,0.0,0.0,0.0
634,10.0,1496905788000.0,0,0,0.0,0.0,0.0
636,10.0,1496905788000.0,0,0,0.0,0.0,0.0
637,10.0,1496905788000.0,0,0,0.0,0.0,0.0
638,10.0,1481731704000.0,0,0,0.0,0.0,0.0
639,10.0,1496905789000.0,0,0,0.0,0.0,0.0
640,10.0,1496905789000.0,0,0,0.0,0.0,0.0
641,10.0,1496905790000.0,0,0,0.0,0.0,0.0
642,10.0,1496905790000.0,0,0,0.0,0.0,0.0
643,10.0,1496905790000.0,0,0,0.0,0.0,0.0
644,10.0,1496905790000.0,0,0,0.0,0.0,0.0
645,10.0,1496905791000.0,0,0,0.0,0.0,0.0
646,10.0,1496905791000.0,0,0,0.0,0.0,0.0
647,10.0,1496905791000.0,0,0,0.0,0.0,0.0
648,10.0,1496905791000.0,0,0,0.0,0.0,0.0
649,10.0,1496905791000.0,0,0,0.0,0.0,0.0
656,10.0,1496993247015.0,0,0,1.0,12.9802,77.6975
657,10.0,1496993248687.0,0,0,1.0,12.9802,77.6975
972,40.0,1497084451000.0,0,0,0.0,0.0,0.0
